,_index,uid,instance_type,instance_category,instance_generation,release_month,release_year,product_page,announcement_url,date,Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory,category
0,1,451c1cd49a2f955d,m1.small,General Purpose,Previous generation,August,2006,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2006/08/24/announcing-amazon-elastic-compute-cloud-amazon-ec2---beta/,2006-08-01,m1.small,1.7,Intel Xeon Family,1,1,1,,,,previous
1,2,85589f23e811f229,m1.large,General Purpose,Previous generation,October,2007,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2007/10/22/amazon-ec2-now-in-unlimited-beta-and-launching-new-instance-types/,2007-10-01,m1.large,7.5,Intel Xeon Family,2,2,1,,,,previous
2,3,db881dc65b70a128,m1.xlarge,General Purpose,Previous generation,October,2007,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2007/10/22/amazon-ec2-now-in-unlimited-beta-and-launching-new-instance-types/,2007-10-01,m1.xlarge,15.0,Intel Xeon Family,4,4,1,,,,previous
3,4,719785bb62b69257,c1.medium,Compute Optimized,Previous generation,May,2008,https://aws.amazon.com/ec2/previous-generation/,,2008-05-01,c1.medium,1.7,Intel Xeon Family,2,2,1,,,,previous
4,5,14861a4162144a39,c1.xlarge,Compute Optimized,Previous generation,May,2008,https://aws.amazon.com/ec2/previous-generation/,,2008-05-01,c1.xlarge,7.0,Intel Xeon Family,8,8,1,,,,previous
5,6,0204afdbb01d1e39,m2.2xlarge,Memory Optimized,Previous generation,October,2009,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2009/10/27/announcing-amazon-ec2-high-memory-instances/,2009-10-01,m2.2xlarge,34.2,Intel Xeon Family,4,4,1,,,,previous
6,7,402230d55ac40b3d,m2.4xlarge,Memory Optimized,Previous generation,October,2009,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2009/10/27/announcing-amazon-ec2-high-memory-instances/,2009-10-01,m2.4xlarge,68.4,Intel Xeon Family,8,8,1,,,,previous
7,8,47d092273fc720af,m2.xlarge,Memory Optimized,Previous generation,February,2010,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2010/02/23/amazon-ec2-now-offers-extra-large-high-memory-instances/,2010-02-01,m2.xlarge,17.1,Intel Xeon Family,2,2,1,,,,previous
8,10,a4004d9227d252bb,t1.micro,Micro,Previous generation,September,2010,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2010/09/09/announcing-micro-instances-for-amazon-ec2/,2010-09-01,t1.micro,0.61,Intel E5-2650,1,1,1,,,,previous
9,13,a8892c784bcd640a,m1.medium,General Purpose,Previous generation,March,2012,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2012/03/07/three-new-amazon-ec2-features/,2012-03-01,m1.medium,3.7,Intel Xeon Family,1,1,1,,,,previous
10,15,cfa02b37b3714c6d,m3.xlarge,General Purpose,Previous generation,October,2012,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2012/10/31/announcing-amazon-ec2-m3-instances-and-m1-price-drop/,2012-10-01,m3.xlarge,15.0,Intel Xeon E5-2670v2,4,2,2,,,,previous
11,16,118c83517a66e90a,m3.2xlarge,General Purpose,Previous generation,October,2012,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2012/10/31/announcing-amazon-ec2-m3-instances-and-m1-price-drop/,2012-10-01,m3.2xlarge,30.0,Intel Xeon E5-2670v2,8,4,2,,,,previous
12,20,7dc28a83875204a4,c3.large,Compute Optimized,Previous generation,November,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/11/14/announcing-new-amazon-ec2-compute-optimized-instances/,2013-11-01,c3.large,3.75,Intel Xeon E5-2680v2,2,1,2,,,,previous
13,21,42df84c86d437783,c3.xlarge,Compute Optimized,Previous generation,November,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/11/14/announcing-new-amazon-ec2-compute-optimized-instances/,2013-11-01,c3.xlarge,7.5,Intel Xeon E5-2680v2,4,2,2,,,,previous
14,22,c4cc93d60d028582,c3.2xlarge,Compute Optimized,Previous generation,November,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/11/14/announcing-new-amazon-ec2-compute-optimized-instances/,2013-11-01,c3.2xlarge,15.0,Intel Xeon E5-2680v2,8,4,2,,,,previous
15,23,3fc49241f3649c3d,c3.4xlarge,Compute Optimized,Previous generation,November,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/11/14/announcing-new-amazon-ec2-compute-optimized-instances/,2013-11-01,c3.4xlarge,30.0,Intel Xeon E5-2680v2,16,8,2,,,,previous
16,24,f52e77056d74e8cc,c3.8xlarge,Compute Optimized,Previous generation,November,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/11/14/announcing-new-amazon-ec2-compute-optimized-instances/,2013-11-01,c3.8xlarge,60.0,Intel Xeon E5-2680v2,32,16,2,,,,previous
17,25,e4c250300f6fe81f,i2.xlarge,Storage Optimized,Previous generation,December,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/12/19/o-instance/,2013-12-01,i2.xlarge,30.5,Intel Xeon E5-2670v2,4,2,2,,,,previous
18,26,6d9ad369cc981c64,i2.2xlarge,Storage Optimized,Previous generation,December,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/12/19/o-instance/,2013-12-01,i2.2xlarge,61.0,Intel Xeon E5-2670v2,8,4,2,,,,previous
19,27,815853229a46d010,i2.4xlarge,Storage Optimized,Previous generation,December,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/12/19/o-instance/,2013-12-01,i2.4xlarge,122.0,Intel Xeon E5-2670v2,16,8,2,,,,previous
20,28,f18eef012b009e9d,i2.8xlarge,Storage Optimized,Previous generation,December,2013,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2013/12/19/o-instance/,2013-12-01,i2.8xlarge,244.0,Intel Xeon E5-2670v2,32,16,2,,,,previous
21,29,d709c0ad22b464da,m3.medium,General Purpose,Previous generation,January,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/01/21/announcing-new-amazon-ec2-m3-instance-sizes-and-lower-prices-for-amazon-s3-and-amazon-ebs/,2014-01-01,m3.medium,3.75,Intel Xeon E5-2670v2,1,1,1,,,,previous
22,30,52ef681c18f82948,m3.large,General Purpose,Previous generation,January,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/01/21/announcing-new-amazon-ec2-m3-instance-sizes-and-lower-prices-for-amazon-s3-and-amazon-ebs/,2014-01-01,m3.large,7.5,Intel Xeon E5-2670v2,2,1,2,,,,previous
23,31,d547c9a2ec5e03d2,r3.large,Memory Optimized,Previous generation,April,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/04/10/r3-announcing-the-next-generation-of-amazon-ec2-memory-optimized-instances/,2014-04-01,r3.large,15.0,Intel Xeon E5-2670v2,2,1,2,,,,previous
24,32,bbb0ffe4c8237aae,r3.xlarge,Memory Optimized,Previous generation,April,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/04/10/r3-announcing-the-next-generation-of-amazon-ec2-memory-optimized-instances/,2014-04-01,r3.xlarge,30.5,Intel Xeon E5-2670v2,4,2,2,,,,previous
25,33,07dd9e7b33ad18d0,r3.2xlarge,Memory Optimized,Previous generation,April,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/04/10/r3-announcing-the-next-generation-of-amazon-ec2-memory-optimized-instances/,2014-04-01,r3.2xlarge,61.0,Intel Xeon E5-2670v2,8,4,2,,,,previous
26,34,b631000a0f785b3f,r3.4xlarge,Memory Optimized,Previous generation,April,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/04/10/r3-announcing-the-next-generation-of-amazon-ec2-memory-optimized-instances/,2014-04-01,r3.4xlarge,122.0,Intel Xeon E5-2670v2,16,8,2,,,,previous
27,35,543a2a71d148a3c0,r3.8xlarge,Memory Optimized,Previous generation,April,2014,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2014/04/10/r3-announcing-the-next-generation-of-amazon-ec2-memory-optimized-instances/,2014-04-01,r3.8xlarge,244.0,Intel Xeon E5-2670v2,32,16,2,,,,previous
28,36,8889b175288adf70,t2.micro,General Purpose,Current generation,July,2014,https://aws.amazon.com/ec2/instance-types/t2/,https://aws.amazon.com/about-aws/whats-new/2014/07/01/introducing-t2-the-new-low-cost-general-purpose-instance-type-for-amazon-ec2/,2014-07-01,t2.micro,1.0,Intel Xeon Family,1,1,1,,,,general
29,37,701698fbd216d481,t2.small,General Purpose,Current generation,July,2014,https://aws.amazon.com/ec2/instance-types/t2/,https://aws.amazon.com/about-aws/whats-new/2014/07/01/introducing-t2-the-new-low-cost-general-purpose-instance-type-for-amazon-ec2/,2014-07-01,t2.small,2.0,Intel Xeon Family,1,1,1,,,,general
30,38,f4dec9de98a46129,t2.medium,General Purpose,Current generation,July,2014,https://aws.amazon.com/ec2/instance-types/t2/,https://aws.amazon.com/about-aws/whats-new/2014/07/01/introducing-t2-the-new-low-cost-general-purpose-instance-type-for-amazon-ec2/,2014-07-01,t2.medium,4.0,Intel Broadwell E5-2686v4,2,2,1,,,,general
31,39,55ee97c96a09683f,c4.large,Compute Optimized,Previous generation,January,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,2015-01-01,c4.large,3.75,Intel Xeon E5-2666v3,2,1,2,,,,previous
32,40,33b593d21dc0ac1c,c4.xlarge,Compute Optimized,Previous generation,January,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,2015-01-01,c4.xlarge,7.5,Intel Xeon E5-2666v3,4,2,2,,,,previous
33,41,a91c924abdb12942,c4.2xlarge,Compute Optimized,Previous generation,January,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,2015-01-01,c4.2xlarge,15.0,Intel Xeon E5-2666v3,8,4,2,,,,previous
34,42,34c3df9fdc228196,c4.4xlarge,Compute Optimized,Previous generation,January,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,2015-01-01,c4.4xlarge,30.0,Intel Xeon E5-2666v3,16,8,2,,,,previous
35,43,4327717e5e9957f2,c4.8xlarge,Compute Optimized,Previous generation,January,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/01/11/amazon-ec2-c4-instances-now-available/,2015-01-01,c4.8xlarge,60.0,Intel Xeon E5-2666v3,36,18,2,,,,previous
36,44,6a221f39dc187c2c,d2.xlarge,Storage Optimized,Previous generation,March,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/03/now-available-d2-instances-the-latest-generation-of-amazon-ec2-dense-storage-instances/,2015-03-01,d2.xlarge,30.5,Intel Xeon E52676v3,4,2,2,,,,storage
37,45,0ee1a9bc15f5e88a,d2.2xlarge,Storage Optimized,Previous generation,March,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/03/now-available-d2-instances-the-latest-generation-of-amazon-ec2-dense-storage-instances/,2015-03-01,d2.2xlarge,61.0,Intel Xeon E52676v3,8,4,2,,,,storage
38,46,e1119a12798cca00,d2.4xlarge,Storage Optimized,Previous generation,March,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/03/now-available-d2-instances-the-latest-generation-of-amazon-ec2-dense-storage-instances/,2015-03-01,d2.4xlarge,122.0,Intel Xeon E52676v3,16,8,2,,,,storage
39,47,f12c94399badeb2d,d2.8xlarge,Storage Optimized,Previous generation,March,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/03/now-available-d2-instances-the-latest-generation-of-amazon-ec2-dense-storage-instances/,2015-03-01,d2.8xlarge,244.0,Intel Xeon E52676v3,36,18,2,,,,storage
40,49,3d912394ef72297a,m4.large,General Purpose,Previous generation,June,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-m4-instances-and-lower-amazon-ec2-instance-prices/,2015-06-01,m4.large,8.0,Intel Xeon E5-2676v3,2,1,2,,,,previous
41,50,9760b91d27d21448,m4.xlarge,General Purpose,Previous generation,June,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-m4-instances-and-lower-amazon-ec2-instance-prices/,2015-06-01,m4.xlarge,16.0,Intel Xeon E5-2676v3,4,2,2,,,,previous
42,51,f6ebb689a1ea5c0d,m4.2xlarge,General Purpose,Previous generation,June,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-m4-instances-and-lower-amazon-ec2-instance-prices/,2015-06-01,m4.2xlarge,32.0,Intel Xeon E5-2676v3,8,4,2,,,,previous
43,52,d46e6916e89fdba1,m4.4xlarge,General Purpose,Previous generation,June,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-m4-instances-and-lower-amazon-ec2-instance-prices/,2015-06-01,m4.4xlarge,64.0,Intel Xeon E5-2676v3,16,8,2,,,,previous
44,53,5edea7851a817693,m4.10xlarge,General Purpose,Previous generation,June,2015,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-m4-instances-and-lower-amazon-ec2-instance-prices/,2015-06-01,m4.10xlarge,160.0,Intel Xeon E5-2676v3,40,20,2,,,,previous
45,54,3cfeac3053ae281b,t2.large,General Purpose,Current generation,June,2015,https://aws.amazon.com/ec2/instance-types/t2/,https://aws.amazon.com/about-aws/whats-new/2015/06/introducing-a-new-amazon-ec2-t2-instance-t2-large/,2015-06-01,t2.large,8.0,Intel Broadwell E5-2686v4,2,2,1,,,,general
46,55,f1cd4be04da6285b,t2.nano,General Purpose,Current generation,December,2015,https://aws.amazon.com/ec2/instance-types/t2/,https://aws.amazon.com/about-aws/whats-new/2015/12/introducing-t2-nano-the-smallest-lowest-cost-amazon-ec2-instance/,2015-12-01,t2.nano,0.5,Intel Xeon Family,1,1,1,,,,general
47,56,26f50bfb45fdce8e,x1.32xlarge,Memory Optimized,Current generation,May,2016,https://aws.amazon.com/ec2/instance-types/x1/,https://aws.amazon.com/about-aws/whats-new/2016/05/now-available-x1-instances-the-largest-amazon-ec2-memory-optimized-instance-with-2-tb-of-memory/,2016-05-01,x1.32xlarge,1952.0,Intel Xeon E7 8880 v3,128,64,2,,,,memory
48,57,2e123bf9c15a31cd,m4.16xlarge,General Purpose,Previous generation,September,2016,https://aws.amazon.com/ec2/previous-generation/,https://aws.amazon.com/about-aws/whats-new/2016/09/introducing-new-m4-instance-size-m4-16xlarge-and-new-region-availability-of-m4-instances/,2016-09-01,m4.16xlarge,256.0,Intel Xeon E5-2686v4,64,32,2,,,,previous
