Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
dl1.24xlarge,768,Intel Xeon P-8275CL,96,48,2,8,Habana Gaudi HL-205,32
dl2q.24xlarge,768,Intel Xeon Cascade Lake,96,48,2,8,Qualcomm AI100 inference accelerator,15
f1.2xlarge,122,Intel Xeon E5-2686v4,8,4,2,1,Xilinx Virtex UltraScale (VU9P),64
f1.4xlarge,244,Intel Xeon E5-2686v4,16,8,2,2,Xilinx Virtex UltraScale (VU9P),64
f1.16xlarge,976,Intel Xeon E5-2686v4,64,32,2,8,Xilinx Virtex UltraScale (VU9P),64
f2.6xlarge,256,AMD EPYC 7R13,24,12,2,1,Xilinx Virtex UltraScale+ (VU47P),80
f2.12xlarge,512,AMD EPYC 7R13,48,24,2,2,Xilinx Virtex UltraScale+ (VU47P),80
f2.48xlarge,2048,AMD EPYC 7R13,192,96,2,8,Xilinx Virtex UltraScale+ (VU47P),80
g4ad.xlarge,16,2nd Gen AMD EPYC 7R32,4,2,2,1,AMD Radeon Pro V520 GPU,8
g4ad.2xlarge,32,2nd Gen AMD EPYC 7R32,8,4,2,1,AMD Radeon Pro V520 GPU,8
g4ad.4xlarge,64,2nd Gen AMD EPYC 7R32,16,8,2,1,AMD Radeon Pro V520 GPU,8
g4ad.8xlarge,128,2nd Gen AMD EPYC 7R32,32,16,2,2,AMD Radeon Pro V520 GPU,8
g4ad.16xlarge,256,2nd Gen AMD EPYC 7R32,64,32,2,4,AMD Radeon Pro V520 GPU,8
g4dn.xlarge,16,Intel Xeon P-8259L,4,2,2,1,NVIDIA T4 GPU,16
g4dn.2xlarge,32,Intel Xeon P-8259L,8,4,2,1,NVIDIA T4 GPU,16
g4dn.4xlarge,64,Intel Xeon P-8259L,16,8,2,1,NVIDIA T4 GPU,16
g4dn.8xlarge,128,Intel Xeon P-8259L,32,16,2,1,NVIDIA T4 GPU,16
g4dn.12xlarge,192,Intel Xeon P-8259L,48,24,2,4,NVIDIA T4 GPU,16
g4dn.16xlarge,256,Intel Xeon P-8259L,64,32,2,1,NVIDIA T4 GPU,16
g4dn.metal,384,Intel Xeon P-8259L,96,48,2,8,NVIDIA T4 GPU,16
g5.xlarge,16,2nd Gen AMD EPYC 7R32,4,2,2,1,NVIDIA A10G GPU,22
g5.2xlarge,32,2nd Gen AMD EPYC 7R32,8,4,2,1,NVIDIA A10G GPU,22
g5.4xlarge,64,2nd Gen AMD EPYC 7R32,16,8,2,1,NVIDIA A10G GPU,22
g5.8xlarge,128,2nd Gen AMD EPYC 7R32,32,16,2,1,NVIDIA A10G GPU,22
g5.12xlarge,192,2nd Gen AMD EPYC 7R32,48,24,2,4,NVIDIA A10G GPU,22
g5.16xlarge,256,2nd Gen AMD EPYC 7R32,64,32,2,1,NVIDIA A10G GPU,22
g5.24xlarge,384,2nd Gen AMD EPYC 7R32,96,48,2,4,NVIDIA A10G GPU,22
g5.48xlarge,768,2nd Gen AMD EPYC 7R32,192,96,2,8,NVIDIA A10G GPU,22
g5g.xlarge,8,AWS Graviton2 Processor,4,4,1,1,NVIDIA T4g GPU,16
g5g.2xlarge,16,AWS Graviton2 Processor,8,8,1,1,NVIDIA T4g GPU,16
g5g.4xlarge,32,AWS Graviton2 Processor,16,16,1,1,NVIDIA T4g GPU,16
g5g.8xlarge,64,AWS Graviton2 Processor,32,32,1,1,NVIDIA T4g GPU,16
g5g.16xlarge,128,AWS Graviton2 Processor,64,64,1,2,NVIDIA T4g GPU,32
g5g.metal,128,AWS Graviton2 Processor,64,64,1,2,NVIDIA T4g GPU,32
g6.xlarge,16,AMD EPYC 7R13,4,2,2,1,NVIDIA L4 GPU,22
g6.2xlarge,32,AMD EPYC 7R13,8,4,2,1,NVIDIA L4 GPU,22
g6.4xlarge,64,AMD EPYC 7R13,16,8,2,1,NVIDIA L4 GPU,22
g6.8xlarge,128,AMD EPYC 7R13,32,16,2,1,NVIDIA L4 GPU,22
g6.12xlarge,192,AMD EPYC 7R13,48,24,2,4,NVIDIA L4 GPU,22
g6.16xlarge,256,AMD EPYC 7R13,64,32,2,1,NVIDIA L4 GPU,22
g6.24xlarge,384,AMD EPYC 7R13,96,48,2,4,NVIDIA L4 GPU,22
g6.48xlarge,768,AMD EPYC 7R13,192,96,2,8,NVIDIA L4 GPU,22
g6e.xlarge,32,AMD EPYC 7R13,4,2,2,1,NVIDIA L40S GPU,44
g6e.2xlarge,64,AMD EPYC 7R13,8,4,2,1,NVIDIA L40S GPU,44
g6e.4xlarge,128,AMD EPYC 7R13,16,8,2,1,NVIDIA L40S GPU,44
g6e.8xlarge,256,AMD EPYC 7R13,32,16,2,1,NVIDIA L40S GPU,44
g6e.12xlarge,384,AMD EPYC 7R13,48,24,2,4,NVIDIA L40S GPU,44
g6e.16xlarge,512,AMD EPYC 7R13,64,32,2,1,NVIDIA L40S GPU,44
g6e.24xlarge,768,AMD EPYC 7R13,96,48,2,4,NVIDIA L40S GPU,44
g6e.48xlarge,1536,AMD EPYC 7R13,192,96,2,8,NVIDIA L40S GPU,44
g6f.large,8,AMD EPYC 7R13,2,1,2,1,NVIDIA L4 GPU,2
g6f.xlarge,16,AMD EPYC 7R13,4,2,2,1,NVIDIA L4 GPU,2
g6f.2xlarge,32,AMD EPYC 7R13,8,4,2,1,NVIDIA L4 GPU,5
g6f.4xlarge,64,AMD EPYC 7R13,16,8,2,1,NVIDIA L4 GPU,11
gr6.4xlarge,128,AMD EPYC 7R13,16,8,2,1,NVIDIA L4 GPU,22
gr6.8xlarge,256,AMD EPYC 7R13,32,16,2,1,NVIDIA L4 GPU,22
gr6f.4xlarge,128,AMD EPYC 7R13,16,8,2,1,NVIDIA L4 GPU,11
inf1.xlarge,8,Intel Xeon P-8259L,4,2,2,1,AWS Inferentia,8
inf1.2xlarge,16,Intel Xeon P-8259L,8,4,2,1,AWS Inferentia,8
inf1.6xlarge,48,Intel Xeon P-8259L,24,12,2,4,AWS Inferentia,8
inf1.24xlarge,192,Intel Xeon P-8259L,96,48,2,16,AWS Inferentia,8
inf2.xlarge,16,AMD EPYC 7R13,4,2,2,1,AWS Inferentia2,32
inf2.8xlarge,128,AMD EPYC 7R13,32,16,2,1,AWS Inferentia2,32
inf2.24xlarge,384,AMD EPYC 7R13,96,48,2,6,AWS Inferentia2,32
inf2.48xlarge,768,AMD EPYC 7R13,192,96,2,12,AWS Inferentia2,32
p3.2xlarge,61,Intel Xeon E5-2686v4,8,4,2,1,NVIDIA V100,16
p3.8xlarge,244,Intel Xeon E5-2686v4,32,16,2,4,NVIDIA V100,16
p3.16xlarge,488,Intel Xeon E5-2686v4,64,32,2,8,NVIDIA V100,16
p3dn.24xlarge,768,Intel Xeon Platinum 8175,96,48,2,8,NVIDIA V100,32
p4d.24xlarge,1152,Intel Xeon Platinum 8175,96,48,2,8,NVIDIA A100,40
p4de.24xlarge,1152,Intel Xeon Platinum 8175,96,48,2,8,NVIDIA A100,80
p5.4xlarge,256,AMD EPYC 7R13,16,8,2,1,NVIDIA H100,80
p5.48xlarge,2048,AMD EPYC 7R13,192,96,2,8,NVIDIA H100,80
p5e.48xlarge,2048,AMD EPYC 7R13,192,96,2,8,NVIDIA H200,141
p5en.48xlarge,2048,Intel Xeon Sapphire Rapids,192,96,2,8,NVIDIA H200,141
p6-b200.48xlarge,2048,Intel Xeon Emerald Rapids,192,96,2,8,NVIDIA B200,179
p6e-gb200.36xlarge,960,Nvidia Grace CPU,144,144,1,4,NVIDIA B200,185
p6-b300.48xlarge,4096,Intel Xeon Emerald Rapids,192,96,2,8,NVIDIA B300 GPU,2148
trn1.2xlarge,32,Intel Xeon Ice Lake 8375C,8,4,2,1,AWS Trainium,32
trn1.32xlarge,512,Intel Xeon Ice Lake 8375C,128,64,2,16,AWS Trainium,32
trn1n.32xlarge,512,Intel Xeon Ice Lake,128,64,2,16,AWS Trainium,32
trn2.48xlarge,2048,Intel Xeon Sapphire Rapids,192,96,2,16,AWS Trainium2,512
trn2u.48xlarge,2048,Intel Xeon Sapphire Rapids,192,96,2,None,None,None
vt1.3xlarge,24,Intel Cascade Lake P-8259CL,12,6,2,1,Xilinx U30,24
vt1.6xlarge,48,Intel Cascade Lake P-8259CL,24,12,2,2,Xilinx U30,24
vt1.24xlarge,192,Intel Cascade Lake P-8259CL,96,48,2,8,Xilinx U30,24
