Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
c5.large,4.00,Intel Xeon Platinum 8124M,2,1,2,None,None,None
c5.xlarge,8.00,Intel Xeon Platinum 8124M,4,2,2,None,None,None
c5.2xlarge,16.00,Intel Xeon Platinum 8124M,8,4,2,None,None,None
c5.4xlarge,32.00,Intel Xeon Platinum 8124M,16,8,2,None,None,None
c5.9xlarge,72.00,Intel Xeon Platinum 8124M,36,18,2,None,None,None
c5.12xlarge,96.00,2nd Gen Intel Xeon Platinum 8275CL,48,24,2,None,None,None
c5.18xlarge,144.00,Intel Xeon Platinum 8124M,72,36,2,None,None,None
c5.24xlarge,192.00,2nd Gen Intel Xeon Platinum 8275CL,96,48,2,None,None,None
c5.metal,192.00,2nd Gen Intel Xeon Platinum 8275CL,96,48,2,None,None,None
c5a.large,4.00,2nd Gen AMD EPYC 7R32,2,1,2,None,None,None
c5a.xlarge,8.00,2nd Gen AMD EPYC 7R32,4,2,2,None,None,None
c5a.2xlarge,16.00,2nd Gen AMD EPYC 7R32,8,4,2,None,None,None
c5a.4xlarge,32.00,2nd Gen AMD EPYC 7R32,16,8,2,None,None,None
c5a.8xlarge,64.00,2nd Gen AMD EPYC 7R32,32,16,2,None,None,None
c5a.12xlarge,96.00,2nd Gen AMD EPYC 7R32,48,24,2,None,None,None
c5a.16xlarge,128.00,2nd Gen AMD EPYC 7R32,64,32,2,None,None,None
c5a.24xlarge,192.00,2nd Gen AMD EPYC 7R32,96,48,2,None,None,None
c5ad.large,4.00,2nd Gen AMD EPYC 7R32,2,1,2,None,None,None
c5ad.xlarge,8.00,2nd Gen AMD EPYC 7R32,4,2,2,None,None,None
c5ad.2xlarge,16.00,2nd Gen AMD EPYC 7R32,8,4,2,None,None,None
c5ad.4xlarge,32.00,2nd Gen AMD EPYC 7R32,16,8,2,None,None,None
c5ad.8xlarge,64.00,2nd Gen AMD EPYC 7R32,32,16,2,None,None,None
c5ad.12xlarge,96.00,2nd Gen AMD EPYC 7R32,48,24,2,None,None,None
c5ad.16xlarge,128.00,2nd Gen AMD EPYC 7R32,64,32,2,None,None,None
c5ad.24xlarge,192.00,2nd Gen AMD EPYC 7R32,96,48,2,None,None,None
