Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
m5.large,8,Intel Xeon Platinum 8175,2,1,2,None,None,None
m5.xlarge,16,Intel Xeon Platinum 8175,4,2,2,None,None,None
m5.2xlarge,32,Intel Xeon Platinum 8175,8,4,2,None,None,None
m5.4xlarge,64,Intel Xeon Platinum 8175,16,8,2,None,None,None
m5.8xlarge,128,Intel Xeon Platinum 8175,32,16,2,None,None,None
m5.12xlarge,192,Intel Xeon Platinum 8175,48,24,2,None,None,None
m5.16xlarge,256,Intel Xeon Platinum 8175,64,32,2,None,None,None
m5.24xlarge,384,Intel Xeon Platinum 8175,96,48,2,None,None,None
m5.metal,384,Intel Xeon Platinum 8175,96,48,2,None,None,None
m5a.large,8,AMD EPYC 7571,2,1,2,None,None,None
m5a.xlarge,16,AMD EPYC 7571,4,2,2,None,None,None
m5a.2xlarge,32,AMD EPYC 7571,8,4,2,None,None,None
m5a.4xlarge,64,AMD EPYC 7571,16,8,2,None,None,None
m5a.8xlarge,128,AMD EPYC 7571,32,16,2,None,None,None
m5a.12xlarge,192,AMD EPYC 7571,48,24,2,None,None,None
m5a.16xlarge,256,AMD EPYC 7571,64,32,2,None,None,None
m5a.24xlarge,384,AMD EPYC 7571,96,48,2,None,None,None
m5ad.large,8,AMD EPYC 7571,2,1,2,None,None,None
m5ad.xlarge,16,AMD EPYC 7571,4,2,2,None,None,None
m5ad.2xlarge,32,AMD EPYC 7571,8,4,2,None,None,None
m5ad.4xlarge,64,AMD EPYC 7571,16,8,2,None,None,None
m5ad.8xlarge,128,AMD EPYC 7571,32,16,2,None,None,None
m5ad.12xlarge,192,AMD EPYC 7571,48,24,2,None,None,None
m5ad.16xlarge,256,AMD EPYC 7571,64,32,2,None,None,None
m5ad.24xlarge,384,AMD EPYC 7571,96,48,2,None,None,None
m5d.large,8,Intel Xeon Platinum 8175,2,1,2,None,None,None
m5d.xlarge,16,Intel Xeon Platinum 8175,4,2,2,None,None,None
m5d.2xlarge,32,Intel Xeon Platinum 8175,8,4,2,None,None,None
m5d.4xlarge,64,Intel Xeon Platinum 8175,16,8,2,None,None,None
m5d.8xlarge,128,Intel Xeon Platinum 8175,32,16,2,None,None,None
m5d.12xlarge,192,Intel Xeon Platinum 8175,48,24,2,None,None,None
m5d.16xlarge,256,Intel Xeon Platinum 8175,64,32,2,None,None,None
m5d.24xlarge,384,Intel Xeon Platinum 8175,96,48,2,None,None,None
m5d.metal,384,Intel Xeon Platinum 8175,96,48,2,None,None,None
m5dn.large,8,Intel Xeon Platinum 8259,2,1,2,None,None,None
m5dn.xlarge,16,Intel Xeon Platinum 8259,4,2,2,None,None,None
m5dn.2xlarge,32,Intel Xeon Platinum 8259,8,4,2,None,None,None
m5dn.4xlarge,64,Intel Xeon Platinum 8259,16,8,2,None,None,None
m5dn.8xlarge,128,Intel Xeon Platinum 8259,32,16,2,None,None,None
m5dn.12xlarge,192,Intel Xeon Platinum 8259,48,24,2,None,None,None
m5dn.16xlarge,256,Intel Xeon Platinum 8259,64,32,2,None,None,None
m5dn.24xlarge,384,Intel Xeon Platinum 8259,96,48,2,None,None,None
m5dn.metal,384,Intel Xeon Platinum 8259,96,48,2,None,None,None
m5n.large,8,Intel Xeon Platinum 8259,2,1,2,None,None,None
m5n.xlarge,16,Intel Xeon Platinum 8259,4,2,2,None,None,None
m5n.2xlarge,32,Intel Xeon Platinum 8259,8,4,2,None,None,None
m5n.4xlarge,64,Intel Xeon Platinum 8259,16,8,2,None,None,None
m5n.8xlarge,128,Intel Xeon Platinum 8259,32,16,2,None,None,None
m5n.12xlarge,192,Intel Xeon Platinum 8259,48,24,2,None,None,None
m5n.16xlarge,256,Intel Xeon Platinum 8259,64,32,2,None,None,None
m5n.24xlarge,384,Intel Xeon Platinum 8259,96,48,2,None,None,None
m5n.metal,384,Intel Xeon Platinum 8259,96,48,2,None,None,None
m5zn.large,8,Intel Xeon Platinum 8252,2,1,2,None,None,None
m5zn.xlarge,16,Intel Xeon Platinum 8252,4,2,2,None,None,None
m5zn.2xlarge,32,Intel Xeon Platinum 8252,8,4,2,None,None,None
m5zn.3xlarge,48,Intel Xeon Platinum 8252,12,6,2,None,None,None
m5zn.6xlarge,96,Intel Xeon Platinum 8252,24,12,2,None,None,None
m5zn.12xlarge,192,Intel Xeon Platinum 8252,48,24,2,None,None,None
m5zn.metal,192,Intel Xeon Platinum 8252,48,24,2,None,None,None
m6a.large,8,AMD EPYC 7R13,2,1,2,None,None,None
m6a.xlarge,16,AMD EPYC 7R13,4,2,2,None,None,None
m6a.2xlarge,32,AMD EPYC 7R13,8,4,2,None,None,None
m6a.4xlarge,64,AMD EPYC 7R13,16,8,2,None,None,None
m6a.8xlarge,128,AMD EPYC 7R13,32,16,2,None,None,None
m6a.12xlarge,192,AMD EPYC 7R13,48,24,2,None,None,None
m6a.16xlarge,256,AMD EPYC 7R13,64,32,2,None,None,None
m6a.24xlarge,384,AMD EPYC 7R13,96,48,2,None,None,None
m6a.32xlarge,512,AMD EPYC 7R13,128,64,2,None,None,None
m6a.48xlarge,768,AMD EPYC 7R13,192,96,2,None,None,None
m6a.metal,768,AMD EPYC 7R13,192,96,2,None,None,None
m6g.medium,4,AWS Graviton2 Processor,1,1,1,None,None,None
m6g.large,8,AWS Graviton2 Processor,2,2,1,None,None,None
m6g.xlarge,16,AWS Graviton2 Processor,4,4,1,None,None,None
