Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
r5.large,16.00,Intel Xeon Platinum 8175,2,1,2,None,None,None
r5.xlarge,32.00,Intel Xeon Platinum 8175,4,2,2,None,None,None
r5.2xlarge,64.00,Intel Xeon Platinum 8175,8,4,2,None,None,None
r5.4xlarge,128.00,Intel Xeon Platinum 8175,16,8,2,None,None,None
r5.8xlarge,256.00,Intel Xeon Platinum 8175,32,16,2,None,None,None
r5.12xlarge,384.00,Intel Xeon Platinum 8175,48,24,2,None,None,None
r5.16xlarge,512.00,Intel Xeon Platinum 8175,64,32,2,None,None,None
r5.24xlarge,768.00,Intel Xeon Platinum 8175,96,48,2,None,None,None
r5.metal,768.00,Intel Xeon Platinum 8175,96,48,2,None,None,None
r5a.large,16.00,AMD EPYC 7571,2,1,2,None,None,None
r5a.xlarge,32.00,AMD EPYC 7571,4,2,2,None,None,None
r5a.2xlarge,64.00,AMD EPYC 7571,8,4,2,None,None,None
r5a.4xlarge,128.00,AMD EPYC 7571,16,8,2,None,None,None
r5a.8xlarge,256.00,AMD EPYC 7571,32,16,2,None,None,None
r5a.12xlarge,384.00,AMD EPYC 7571,48,24,2,None,None,None
r5a.16xlarge,512.00,AMD EPYC 7571,64,32,2,None,None,None
r5a.24xlarge,768.00,AMD EPYC 7571,96,48,2,None,None,None
r5ad.large,16.00,AMD EPYC 7571,2,1,2,None,None,None
r5ad.xlarge,32.00,AMD EPYC 7571,4,2,2,None,None,None
r5ad.2xlarge,64.00,AMD EPYC 7571,8,4,2,None,None,None
r5ad.4xlarge,128.00,AMD EPYC 7571,16,8,2,None,None,None
r5ad.8xlarge,256.00,AMD EPYC 7571,32,16,2,None,None,None
r5ad.12xlarge,384.00,AMD EPYC 7571,48,24,2,None,None,None
r5ad.16xlarge,512.00,AMD EPYC 7571,64,32,2,None,None,None
r5ad.24xlarge,768.00,AMD EPYC 7571,96,48,2,None,None,None
r5b.large,16.00,Intel Xeon Platinum 8259,2,1,2,None,None,None
r5b.xlarge,32.00,Intel Xeon Platinum 8259,4,2,2,None,None,None
r5b.2xlarge,64.00,Intel Xeon Platinum 8259,8,4,2,None,None,None
r5b.4xlarge,128.00,Intel Xeon Platinum 8259,16,8,2,None,None,None
r5b.8xlarge,256.00,Intel Xeon Platinum 8259,32,16,2,None,None,None
r5b.12xlarge,384.00,Intel Xeon Platinum 8259,48,24,2,None,None,None
r5b.16xlarge,512.00,Intel Xeon Platinum 8259,64,32,2,None,None,None
r5b.24xlarge,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r5b.metal,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r5d.large,16.00,Intel Xeon Platinum 8175,2,1,2,None,None,None
r5d.xlarge,32.00,Intel Xeon Platinum 8175,4,2,2,None,None,None
r5d.2xlarge,64.00,Intel Xeon Platinum 8175,8,4,2,None,None,None
r5d.4xlarge,128.00,Intel Xeon Platinum 8175,16,8,2,None,None,None
r5d.8xlarge,256.00,Intel Xeon Platinum 8175,32,16,2,None,None,None
r5d.12xlarge,384.00,Intel Xeon Platinum 8175,48,24,2,None,None,None
r5d.16xlarge,512.00,Intel Xeon Platinum 8175,64,32,2,None,None,None
r5d.24xlarge,768.00,Intel Xeon Platinum 8175,96,48,2,None,None,None
r5d.metal,768.00,Intel Xeon Platinum 8175,96,48,2,None,None,None
r5dn.large,16.00,Intel Xeon Platinum 8259,2,1,2,None,None,None
r5dn.xlarge,32.00,Intel Xeon Platinum 8259,4,2,2,None,None,None
r5dn.2xlarge,64.00,Intel Xeon Platinum 8259,8,4,2,None,None,None
r5dn.4xlarge,128.00,Intel Xeon Platinum 8259,16,8,2,None,None,None
r5dn.8xlarge,256.00,Intel Xeon Platinum 8259,32,16,2,None,None,None
r5dn.12xlarge,384.00,Intel Xeon Platinum 8259,48,24,2,None,None,None
r5dn.16xlarge,512.00,Intel Xeon Platinum 8259,64,32,2,None,None,None
r5dn.24xlarge,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r5dn.metal,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r5n.large,16.00,Intel Xeon Platinum 8259,2,1,2,None,None,None
r5n.xlarge,32.00,Intel Xeon Platinum 8259,4,2,2,None,None,None
r5n.2xlarge,64.00,Intel Xeon Platinum 8259,8,4,2,None,None,None
r5n.4xlarge,128.00,Intel Xeon Platinum 8259,16,8,2,None,None,None
r5n.8xlarge,256.00,Intel Xeon Platinum 8259,32,16,2,None,None,None
r5n.12xlarge,384.00,Intel Xeon Platinum 8259,48,24,2,None,None,None
r5n.16xlarge,512.00,Intel Xeon Platinum 8259,64,32,2,None,None,None
r5n.24xlarge,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r5n.metal,768.00,Intel Xeon Platinum 8259,96,48,2,None,None,None
r6a.large,16.00,AMD EPYC 7R13,2,1,2,None,None,None
r6a.xlarge,32.00,AMD EPYC 7R13,4,2,2,None,None,None
r6a.2xlarge,64.00,AMD EPYC 7R13,8,4,2,None,None,None
r6a.4xlarge,128.00,AMD EPYC 7R13,16,8,2,None,None,None
r6a.8xlarge,256.00,AMD EPYC 7R13,32,16,2,None,None,None
r6a.12xlarge,384.00,AMD EPYC 7R13,48,24,2,None,None,None
r6a.16xlarge,512.00,AMD EPYC 7R13,64,32,2,None,None,None
r6a.24xlarge,768.00,AMD EPYC 7R13,96,48,2,None,None,None
r6a.32xlarge,1024.00,AMD EPYC 7R13,128,64,2,None,None,None
r6a.48xlarge,1536.00,AMD EPYC 7R13,192,96,2,None,None,None
r6a.metal,1536.00,AMD EPYC 7R13,192,96,2,None,None,None
r6g.medium,8.00,AWS Graviton2 Processor,1,1,1,None,None,None
r6g.large,16.00,AWS Graviton2 Processor,2,2,1,None,None,None
r6g.xlarge,32.00,AWS Graviton2 Processor,4,4,1,None,None,None
r6g.2xlarge,64.00,AWS Graviton2 Processor,8,8,1,None,None,None
r6g.4xlarge,128.00,AWS Graviton2 Processor,16,16,1,None,None,None
r6g.8xlarge,256.00,AWS Graviton2 Processor,32,32,1,None,None,None
r6g.12xlarge,384.00,AWS Graviton2 Processor,48,48,1,None,None,None
r6g.16xlarge,512.00,AWS Graviton2 Processor,64,64,1,None,None,None
r6g.metal,512.00,AWS Graviton2 Processor,64,64,1,None,None,None
r6gd.medium,8.00,AWS Graviton2 Processor,1,1,1,None,None,None
r6gd.large,16.00,AWS Graviton2 Processor,2,2,1,None,None,None
r6gd.xlarge,32.00,AWS Graviton2 Processor,4,4,1,None,None,None
r6gd.2xlarge,64.00,AWS Graviton2 Processor,8,8,1,None,None,None
r6gd.4xlarge,128.00,AWS Graviton2 Processor,16,16,1,None,None,None
r6gd.8xlarge,256.00,AWS Graviton2 Processor,32,32,1,None,None,None
r6gd.12xlarge,384.00,AWS Graviton2 Processor,48,48,1,None,None,None
r6gd.16xlarge,512.00,AWS Graviton2 Processor,64,64,1,None,None,None
